year,state_name,state_alpha,week_ending,week,planted,emerged,silking,doughing,dented,mature,harvested
2016,KANSAS,KS,2016-03-27,12,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-04-03,13,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-04-10,14,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-04-17,15,35.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-04-24,16,43.0,22.0,0.0,0.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-05-01,17,50.0,27.0,0.0,0.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-05-08,18,63.0,38.0,0.0,0.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-05-15,19,80.0,51.0,0.0,0.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-05-22,20,90.0,61.0,0.0,0.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-05-29,21,95.0,75.0,0.0,0.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-06-05,22,97.0,88.0,0.0,0.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-06-12,23,100.0,96.0,1.0,0.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-06-19,24,0.0,0.0,6.0,0.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-06-26,25,0.0,0.0,17.0,0.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-07-03,26,0.0,0.0,34.0,0.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-07-10,27,0.0,0.0,47.0,0.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-07-17,28,0.0,0.0,63.0,0.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-07-24,29,0.0,0.0,86.0,13.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-07-31,30,0.0,0.0,92.0,33.0,0.0,0.0,0.0
2016,KANSAS,KS,2016-08-07,31,0.0,0.0,97.0,56.0,13.0,0.0,0.0
2016,KANSAS,KS,2016-08-14,32,0.0,0.0,0.0,78.0,29.0,0.0,0.0
2016,KANSAS,KS,2016-08-21,33,0.0,0.0,0.0,87.0,51.0,7.0,0.0
2016,KANSAS,KS,2016-08-28,34,0.0,0.0,0.0,92.0,64.0,15.0,0.0
2016,KANSAS,KS,2016-09-04,35,0.0,0.0,0.0,94.0,80.0,26.0,0.0
2016,KANSAS,KS,2016-09-11,36,0.0,0.0,0.0,97.0,88.0,42.0,8.0
2016,KANSAS,KS,2016-09-18,37,0.0,0.0,0.0,0.0,96.0,65.0,17.0
2016,KANSAS,KS,2016-09-25,38,0.0,0.0,0.0,0.0,98.0,81.0,29.0
2016,KANSAS,KS,2016-10-02,39,0.0,0.0,0.0,0.0,0.0,91.0,47.0
2016,KANSAS,KS,2016-10-09,40,0.0,0.0,0.0,0.0,0.0,96.0,62.0
2016,KANSAS,KS,2016-10-16,41,0.0,0.0,0.0,0.0,0.0,100.0,76.0
2016,KANSAS,KS,2016-10-23,42,0.0,0.0,0.0,0.0,0.0,100.0,87.0
2016,KANSAS,KS,2016-10-30,43,0.0,0.0,0.0,0.0,0.0,0.0,93.0
2016,KANSAS,KS,2016-11-06,44,0.0,0.0,0.0,0.0,0.0,0.0,96.0
2016,KANSAS,KS,2016-11-13,45,0.0,0.0,0.0,0.0,0.0,0.0,99.0
2016,KANSAS,KS,2016-11-20,46,0.0,0.0,0.0,0.0,0.0,0.0,100.0
