year,state_name,state_alpha,week_ending,week,planted,emerged,silking,doughing,dented,mature,harvested
2006,ILLINOIS,IL,2006-04-09,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,ILLINOIS,IL,2006-04-16,15,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,ILLINOIS,IL,2006-04-23,16,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,ILLINOIS,IL,2006-04-30,17,72.0,23.0,0.0,0.0,0.0,0.0,0.0
2006,ILLINOIS,IL,2006-05-07,18,85.0,45.0,0.0,0.0,0.0,0.0,0.0
2006,ILLINOIS,IL,2006-05-14,19,95.0,71.0,0.0,0.0,0.0,0.0,0.0
2006,ILLINOIS,IL,2006-05-21,20,96.0,84.0,0.0,0.0,0.0,0.0,0.0
2006,ILLINOIS,IL,2006-05-28,21,99.0,92.0,0.0,0.0,0.0,0.0,0.0
2006,ILLINOIS,IL,2006-06-04,22,0.0,97.0,0.0,0.0,0.0,0.0,0.0
2006,ILLINOIS,IL,2006-06-11,23,0.0,99.0,0.0,0.0,0.0,0.0,0.0
2006,ILLINOIS,IL,2006-06-25,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2006,ILLINOIS,IL,2006-07-02,26,0.0,0.0,10.0,0.0,0.0,0.0,0.0
2006,ILLINOIS,IL,2006-07-09,27,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2006,ILLINOIS,IL,2006-07-16,28,0.0,0.0,78.0,9.0,0.0,0.0,0.0
2006,ILLINOIS,IL,2006-07-23,29,0.0,0.0,96.0,25.0,0.0,0.0,0.0
2006,ILLINOIS,IL,2006-07-30,30,0.0,0.0,98.0,42.0,4.0,0.0,0.0
2006,ILLINOIS,IL,2006-08-06,31,0.0,0.0,99.0,64.0,16.0,0.0,0.0
2006,ILLINOIS,IL,2006-08-13,32,0.0,0.0,0.0,83.0,34.0,0.0,0.0
2006,ILLINOIS,IL,2006-08-20,33,0.0,0.0,0.0,88.0,53.0,5.0,0.0
2006,ILLINOIS,IL,2006-08-27,34,0.0,0.0,0.0,95.0,74.0,10.0,0.0
2006,ILLINOIS,IL,2006-09-03,35,0.0,0.0,0.0,98.0,87.0,20.0,0.0
2006,ILLINOIS,IL,2006-09-10,36,0.0,0.0,0.0,0.0,95.0,39.0,2.0
2006,ILLINOIS,IL,2006-09-17,37,0.0,0.0,0.0,0.0,98.0,61.0,6.0
2006,ILLINOIS,IL,2006-09-24,38,0.0,0.0,0.0,0.0,0.0,83.0,14.0
2006,ILLINOIS,IL,2006-10-01,39,0.0,0.0,0.0,0.0,0.0,96.0,28.0
2006,ILLINOIS,IL,2006-10-08,40,0.0,0.0,0.0,0.0,0.0,99.0,44.0
2006,ILLINOIS,IL,2006-10-15,41,0.0,0.0,0.0,0.0,0.0,0.0,63.0
2006,ILLINOIS,IL,2006-10-22,42,0.0,0.0,0.0,0.0,0.0,0.0,73.0
2006,ILLINOIS,IL,2006-10-29,43,0.0,0.0,0.0,0.0,0.0,0.0,83.0
2006,ILLINOIS,IL,2006-11-05,44,0.0,0.0,0.0,0.0,0.0,0.0,92.0
2006,ILLINOIS,IL,2006-11-12,45,0.0,0.0,0.0,0.0,0.0,0.0,95.0
2006,ILLINOIS,IL,2006-11-19,46,0.0,0.0,0.0,0.0,0.0,0.0,97.0
2006,ILLINOIS,IL,2006-11-26,47,0.0,0.0,0.0,0.0,0.0,0.0,99.0
