year,state_name,state_alpha,week_ending,week,planted,emerged,silking,doughing,dented,mature,harvested
2022,INDIANA,IN,2022-04-03,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,INDIANA,IN,2022-04-10,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,INDIANA,IN,2022-04-17,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,INDIANA,IN,2022-04-24,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,INDIANA,IN,2022-05-01,17,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,INDIANA,IN,2022-05-08,18,11.0,1.0,0.0,0.0,0.0,0.0,0.0
2022,INDIANA,IN,2022-05-15,19,40.0,9.0,0.0,0.0,0.0,0.0,0.0
2022,INDIANA,IN,2022-05-22,20,64.0,32.0,0.0,0.0,0.0,0.0,0.0
2022,INDIANA,IN,2022-05-29,21,81.0,58.0,0.0,0.0,0.0,0.0,0.0
2022,INDIANA,IN,2022-06-05,22,92.0,76.0,0.0,0.0,0.0,0.0,0.0
2022,INDIANA,IN,2022-06-12,23,97.0,89.0,0.0,0.0,0.0,0.0,0.0
2022,INDIANA,IN,2022-06-19,24,100.0,96.0,0.0,0.0,0.0,0.0,0.0
2022,INDIANA,IN,2022-06-26,25,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2022,INDIANA,IN,2022-07-03,26,0.0,100.0,4.0,0.0,0.0,0.0,0.0
2022,INDIANA,IN,2022-07-10,27,0.0,0.0,16.0,0.0,0.0,0.0,0.0
2022,INDIANA,IN,2022-07-17,28,0.0,0.0,39.0,3.0,0.0,0.0,0.0
2022,INDIANA,IN,2022-07-24,29,0.0,0.0,69.0,10.0,0.0,0.0,0.0
2022,INDIANA,IN,2022-07-31,30,0.0,0.0,85.0,25.0,0.0,0.0,0.0
2022,INDIANA,IN,2022-08-07,31,0.0,0.0,93.0,44.0,1.0,0.0,0.0
2022,INDIANA,IN,2022-08-14,32,0.0,0.0,96.0,59.0,8.0,0.0,0.0
2022,INDIANA,IN,2022-08-21,33,0.0,0.0,99.0,77.0,20.0,1.0,1.0
2022,INDIANA,IN,2022-08-28,34,0.0,0.0,100.0,88.0,37.0,2.0,9.0
2022,INDIANA,IN,2022-09-04,35,0.0,0.0,0.0,94.0,55.0,9.0,29.0
2022,INDIANA,IN,2022-09-11,36,0.0,0.0,0.0,97.0,73.0,15.0,46.0
2022,INDIANA,IN,2022-09-18,37,0.0,0.0,0.0,100.0,86.0,29.0,66.0
2022,INDIANA,IN,2022-09-25,38,0.0,0.0,0.0,0.0,92.0,47.0,79.0
2022,INDIANA,IN,2022-10-02,39,0.0,0.0,0.0,0.0,96.0,67.0,90.0
2022,INDIANA,IN,2022-10-09,40,0.0,0.0,0.0,0.0,99.0,84.0,96.0
2022,INDIANA,IN,2022-10-16,41,0.0,0.0,0.0,0.0,100.0,92.0,99.0
2022,INDIANA,IN,2022-10-23,42,0.0,0.0,0.0,0.0,0.0,95.0,100.0
2022,INDIANA,IN,2022-10-30,43,0.0,0.0,0.0,0.0,0.0,99.0,71.0
2022,INDIANA,IN,2022-11-06,44,0.0,0.0,0.0,0.0,0.0,100.0,83.0
2022,INDIANA,IN,2022-11-13,45,0.0,0.0,0.0,0.0,0.0,0.0,91.0
2022,INDIANA,IN,2022-11-20,46,0.0,0.0,0.0,0.0,0.0,0.0,95.0
2022,INDIANA,IN,2022-11-27,47,0.0,0.0,0.0,0.0,0.0,0.0,99.0
