year,state_name,state_alpha,week_ending,week,planted,emerged,silking,doughing,dented,mature,harvested
2005,TENNESSEE,TN,2005-04-17,15,31.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,TENNESSEE,TN,2005-04-24,16,63.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,TENNESSEE,TN,2005-05-01,17,77.0,48.0,0.0,0.0,0.0,0.0,0.0
2005,TENNESSEE,TN,2005-05-08,18,89.0,64.0,0.0,0.0,0.0,0.0,0.0
2005,TENNESSEE,TN,2005-05-15,19,97.0,80.0,0.0,0.0,0.0,0.0,0.0
2005,TENNESSEE,TN,2005-05-22,20,99.0,94.0,0.0,0.0,0.0,0.0,0.0
2005,TENNESSEE,TN,2005-05-29,21,0.0,98.0,0.0,0.0,0.0,0.0,0.0
2005,TENNESSEE,TN,2005-06-05,22,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2005,TENNESSEE,TN,2005-06-26,25,0.0,0.0,29.0,0.0,0.0,0.0,0.0
2005,TENNESSEE,TN,2005-07-03,26,0.0,0.0,57.0,0.0,0.0,0.0,0.0
2005,TENNESSEE,TN,2005-07-10,27,0.0,0.0,78.0,14.0,0.0,0.0,0.0
2005,TENNESSEE,TN,2005-07-17,28,0.0,0.0,92.0,36.0,0.0,0.0,0.0
2005,TENNESSEE,TN,2005-07-24,29,0.0,0.0,97.0,57.0,0.0,0.0,0.0
2005,TENNESSEE,TN,2005-07-31,30,0.0,0.0,100.0,82.0,40.0,0.0,0.0
2005,TENNESSEE,TN,2005-08-07,31,0.0,0.0,100.0,91.0,60.0,0.0,0.0
2005,TENNESSEE,TN,2005-08-14,32,0.0,0.0,0.0,97.0,79.0,0.0,0.0
2005,TENNESSEE,TN,2005-08-21,33,0.0,0.0,0.0,99.0,93.0,27.0,0.0
2005,TENNESSEE,TN,2005-08-28,34,0.0,0.0,0.0,100.0,96.0,43.0,0.0
2005,TENNESSEE,TN,2005-09-04,35,0.0,0.0,0.0,100.0,99.0,67.0,0.0
2005,TENNESSEE,TN,2005-09-11,36,0.0,0.0,0.0,0.0,100.0,84.0,22.0
2005,TENNESSEE,TN,2005-09-18,37,0.0,0.0,0.0,0.0,100.0,92.0,40.0
2005,TENNESSEE,TN,2005-09-25,38,0.0,0.0,0.0,0.0,0.0,97.0,61.0
2005,TENNESSEE,TN,2005-10-02,39,0.0,0.0,0.0,0.0,0.0,100.0,76.0
2005,TENNESSEE,TN,2005-10-09,40,0.0,0.0,0.0,0.0,0.0,100.0,88.0
2005,TENNESSEE,TN,2005-10-16,41,0.0,0.0,0.0,0.0,0.0,0.0,94.0
2005,TENNESSEE,TN,2005-10-23,42,0.0,0.0,0.0,0.0,0.0,0.0,97.0
2005,TENNESSEE,TN,2005-10-30,43,0.0,0.0,0.0,0.0,0.0,0.0,99.0
2005,TENNESSEE,TN,2005-11-06,44,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2005,TENNESSEE,TN,2005-11-13,45,0.0,0.0,0.0,0.0,0.0,0.0,100.0
