year,state_name,state_alpha,week_ending,week,planted,emerged,silking,doughing,dented,mature,harvested
2019,KENTUCKY,KY,2019-04-07,14,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,KENTUCKY,KY,2019-04-14,15,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,KENTUCKY,KY,2019-04-21,16,17.0,3.0,0.0,0.0,0.0,0.0,0.0
2019,KENTUCKY,KY,2019-04-28,17,28.0,12.0,0.0,0.0,0.0,0.0,0.0
2019,KENTUCKY,KY,2019-05-05,18,42.0,22.0,0.0,0.0,0.0,0.0,0.0
2019,KENTUCKY,KY,2019-05-12,19,55.0,37.0,0.0,0.0,0.0,0.0,0.0
2019,KENTUCKY,KY,2019-05-19,20,71.0,50.0,0.0,0.0,0.0,0.0,0.0
2019,KENTUCKY,KY,2019-05-26,21,82.0,65.0,0.0,0.0,0.0,0.0,0.0
2019,KENTUCKY,KY,2019-06-02,22,87.0,74.0,0.0,0.0,0.0,0.0,0.0
2019,KENTUCKY,KY,2019-06-09,23,94.0,85.0,0.0,0.0,0.0,0.0,0.0
2019,KENTUCKY,KY,2019-06-16,24,97.0,91.0,3.0,0.0,0.0,0.0,0.0
2019,KENTUCKY,KY,2019-06-23,25,100.0,95.0,8.0,0.0,0.0,0.0,0.0
2019,KENTUCKY,KY,2019-06-30,26,0.0,98.0,23.0,0.0,0.0,0.0,0.0
2019,KENTUCKY,KY,2019-07-07,27,0.0,99.0,47.0,0.0,0.0,0.0,0.0
2019,KENTUCKY,KY,2019-07-14,28,0.0,0.0,60.0,8.0,0.0,0.0,0.0
2019,KENTUCKY,KY,2019-07-21,29,0.0,0.0,69.0,19.0,2.0,0.0,0.0
2019,KENTUCKY,KY,2019-07-28,30,0.0,0.0,79.0,34.0,10.0,0.0,0.0
2019,KENTUCKY,KY,2019-08-04,31,0.0,0.0,86.0,43.0,20.0,0.0,0.0
2019,KENTUCKY,KY,2019-08-11,32,0.0,0.0,92.0,56.0,31.0,0.0,0.0
2019,KENTUCKY,KY,2019-08-18,33,0.0,0.0,95.0,69.0,47.0,12.0,0.0
2019,KENTUCKY,KY,2019-08-25,34,0.0,0.0,0.0,76.0,57.0,23.0,1.0
2019,KENTUCKY,KY,2019-09-01,35,0.0,0.0,0.0,83.0,70.0,40.0,5.0
2019,KENTUCKY,KY,2019-09-08,36,0.0,0.0,0.0,93.0,85.0,59.0,13.0
2019,KENTUCKY,KY,2019-09-15,37,0.0,0.0,0.0,95.0,91.0,71.0,26.0
2019,KENTUCKY,KY,2019-09-22,38,0.0,0.0,0.0,99.0,96.0,82.0,44.0
2019,KENTUCKY,KY,2019-09-29,39,0.0,0.0,0.0,0.0,99.0,90.0,58.0
2019,KENTUCKY,KY,2019-10-06,40,0.0,0.0,0.0,0.0,100.0,96.0,76.0
2019,KENTUCKY,KY,2019-10-13,41,0.0,0.0,0.0,0.0,100.0,99.0,84.0
2019,KENTUCKY,KY,2019-10-20,42,0.0,0.0,0.0,0.0,0.0,100.0,90.0
2019,KENTUCKY,KY,2019-10-27,43,0.0,0.0,0.0,0.0,0.0,100.0,94.0
2019,KENTUCKY,KY,2019-11-03,44,0.0,0.0,0.0,0.0,0.0,100.0,95.0
2019,KENTUCKY,KY,2019-11-10,45,0.0,0.0,0.0,0.0,0.0,0.0,96.0
2019,KENTUCKY,KY,2019-11-17,46,0.0,0.0,0.0,0.0,0.0,0.0,98.0
2019,KENTUCKY,KY,2019-11-24,47,0.0,0.0,0.0,0.0,0.0,0.0,99.0
2019,KENTUCKY,KY,2019-12-01,48,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2019,KENTUCKY,KY,2019-12-08,49,0.0,0.0,0.0,0.0,0.0,0.0,100.0
