year,state_name,state_alpha,week_ending,week,planted,emerged,silking,doughing,dented,mature,harvested
2018,MINNESOTA,MN,2018-04-08,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,MINNESOTA,MN,2018-04-15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,MINNESOTA,MN,2018-04-22,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,MINNESOTA,MN,2018-04-29,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,MINNESOTA,MN,2018-05-06,18,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,MINNESOTA,MN,2018-05-13,19,40.0,1.0,0.0,0.0,0.0,0.0,0.0
2018,MINNESOTA,MN,2018-05-20,20,77.0,24.0,0.0,0.0,0.0,0.0,0.0
2018,MINNESOTA,MN,2018-05-27,21,93.0,66.0,0.0,0.0,0.0,0.0,0.0
2018,MINNESOTA,MN,2018-06-03,22,98.0,87.0,0.0,0.0,0.0,0.0,0.0
2018,MINNESOTA,MN,2018-06-10,23,0.0,97.0,0.0,0.0,0.0,0.0,0.0
2018,MINNESOTA,MN,2018-06-17,24,0.0,99.0,0.0,0.0,0.0,0.0,0.0
2018,MINNESOTA,MN,2018-06-24,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,MINNESOTA,MN,2018-07-01,26,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018,MINNESOTA,MN,2018-07-08,27,0.0,0.0,8.0,0.0,0.0,0.0,0.0
2018,MINNESOTA,MN,2018-07-15,28,0.0,0.0,45.0,0.0,0.0,0.0,0.0
2018,MINNESOTA,MN,2018-07-22,29,0.0,0.0,77.0,3.0,0.0,0.0,0.0
2018,MINNESOTA,MN,2018-07-29,30,0.0,0.0,92.0,23.0,0.0,0.0,0.0
2018,MINNESOTA,MN,2018-08-05,31,0.0,0.0,97.0,45.0,4.0,0.0,0.0
2018,MINNESOTA,MN,2018-08-12,32,0.0,0.0,0.0,65.0,12.0,0.0,0.0
2018,MINNESOTA,MN,2018-08-19,33,0.0,0.0,0.0,82.0,26.0,0.0,5.0
2018,MINNESOTA,MN,2018-08-26,34,0.0,0.0,0.0,92.0,45.0,0.0,11.0
2018,MINNESOTA,MN,2018-09-02,35,0.0,0.0,0.0,97.0,67.0,6.0,20.0
2018,MINNESOTA,MN,2018-09-09,36,0.0,0.0,0.0,0.0,83.0,17.0,39.0
2018,MINNESOTA,MN,2018-09-16,37,0.0,0.0,0.0,0.0,92.0,42.0,72.0
2018,MINNESOTA,MN,2018-09-23,38,0.0,0.0,0.0,0.0,96.0,66.0,85.0
2018,MINNESOTA,MN,2018-09-30,39,0.0,0.0,0.0,0.0,0.0,87.0,93.0
2018,MINNESOTA,MN,2018-10-07,40,0.0,0.0,0.0,0.0,0.0,96.0,96.0
2018,MINNESOTA,MN,2018-10-14,41,0.0,0.0,0.0,0.0,0.0,97.0,18.0
2018,MINNESOTA,MN,2018-10-21,42,0.0,0.0,0.0,0.0,0.0,0.0,35.0
2018,MINNESOTA,MN,2018-10-28,43,0.0,0.0,0.0,0.0,0.0,0.0,58.0
2018,MINNESOTA,MN,2018-11-04,44,0.0,0.0,0.0,0.0,0.0,0.0,78.0
2018,MINNESOTA,MN,2018-11-11,45,0.0,0.0,0.0,0.0,0.0,0.0,87.0
2018,MINNESOTA,MN,2018-11-18,46,0.0,0.0,0.0,0.0,0.0,0.0,93.0
2018,MINNESOTA,MN,2018-11-25,47,0.0,0.0,0.0,0.0,0.0,0.0,96.0
