year,state_name,state_alpha,week_ending,week,planted,emerged,silking,doughing,dented,mature,harvested
2020,MISSOURI,MO,2020-04-05,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,MISSOURI,MO,2020-04-12,15,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,MISSOURI,MO,2020-04-19,16,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,MISSOURI,MO,2020-04-26,17,25.0,5.0,0.0,0.0,0.0,0.0,0.0
2020,MISSOURI,MO,2020-05-03,18,44.0,14.0,0.0,0.0,0.0,0.0,0.0
2020,MISSOURI,MO,2020-05-10,19,67.0,33.0,0.0,0.0,0.0,0.0,0.0
2020,MISSOURI,MO,2020-05-17,20,83.0,58.0,0.0,0.0,0.0,0.0,0.0
2020,MISSOURI,MO,2020-05-24,21,90.0,76.0,0.0,0.0,0.0,0.0,0.0
2020,MISSOURI,MO,2020-05-31,22,92.0,85.0,0.0,0.0,0.0,0.0,0.0
2020,MISSOURI,MO,2020-06-07,23,95.0,90.0,0.0,0.0,0.0,0.0,0.0
2020,MISSOURI,MO,2020-06-14,24,0.0,94.0,0.0,0.0,0.0,0.0,0.0
2020,MISSOURI,MO,2020-06-21,25,0.0,96.0,4.0,0.0,0.0,0.0,0.0
2020,MISSOURI,MO,2020-06-28,26,0.0,0.0,7.0,0.0,0.0,0.0,0.0
2020,MISSOURI,MO,2020-07-05,27,0.0,0.0,21.0,0.0,0.0,0.0,0.0
2020,MISSOURI,MO,2020-07-12,28,0.0,0.0,59.0,3.0,0.0,0.0,0.0
2020,MISSOURI,MO,2020-07-19,29,0.0,0.0,80.0,24.0,0.0,0.0,0.0
2020,MISSOURI,MO,2020-07-26,30,0.0,0.0,89.0,38.0,0.0,0.0,0.0
2020,MISSOURI,MO,2020-08-02,31,0.0,0.0,95.0,54.0,4.0,0.0,0.0
2020,MISSOURI,MO,2020-08-09,32,0.0,0.0,100.0,72.0,25.0,0.0,0.0
2020,MISSOURI,MO,2020-08-16,33,0.0,0.0,0.0,83.0,47.0,0.0,0.0
2020,MISSOURI,MO,2020-08-23,34,0.0,0.0,0.0,91.0,69.0,2.0,0.0
2020,MISSOURI,MO,2020-08-30,35,0.0,0.0,0.0,97.0,83.0,7.0,0.0
2020,MISSOURI,MO,2020-09-06,36,0.0,0.0,0.0,100.0,91.0,25.0,1.0
2020,MISSOURI,MO,2020-09-13,37,0.0,0.0,0.0,0.0,96.0,44.0,6.0
2020,MISSOURI,MO,2020-09-20,38,0.0,0.0,0.0,0.0,99.0,65.0,13.0
2020,MISSOURI,MO,2020-09-27,39,0.0,0.0,0.0,0.0,0.0,69.0,20.0
2020,MISSOURI,MO,2020-10-04,40,0.0,0.0,0.0,0.0,0.0,81.0,31.0
2020,MISSOURI,MO,2020-10-11,41,0.0,0.0,0.0,0.0,0.0,94.0,51.0
2020,MISSOURI,MO,2020-10-18,42,0.0,0.0,0.0,0.0,0.0,98.0,64.0
2020,MISSOURI,MO,2020-10-25,43,0.0,0.0,0.0,0.0,0.0,0.0,72.0
2020,MISSOURI,MO,2020-11-01,44,0.0,0.0,0.0,0.0,0.0,0.0,80.0
2020,MISSOURI,MO,2020-11-08,45,0.0,0.0,0.0,0.0,0.0,0.0,90.0
2020,MISSOURI,MO,2020-11-15,46,0.0,0.0,0.0,0.0,0.0,0.0,95.0
