STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
IA,2020-01-01,-3.236220472440945,0.0079734219269102,81.15441777909375,-7.660629921259843,1.2484375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2020-01-02,1.2913533834586466,0.01,82.64159738554845,-3.8045112781954886,6.39776119402985,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2020-01-03,1.3380597014925375,0.1568627450980392,90.60418737845862,-2.47089552238806,5.15037037037037,23.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
IA,2020-01-04,-1.9861538461538464,2.150778816199377,89.57594787474662,-5.843846153846155,1.8715384615384616,19.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
IA,2020-01-05,-1.224621212121212,0.0016447368421052,74.68923975017127,-5.918939393939394,3.4857142857142858,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2020-01-06,-0.5077777777777778,0.0108910891089108,78.8891442142435,-6.039259259259259,5.023703703703704,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IA,2020-01-07,-1.780451127819549,0.0071661237785016,78.62308350801075,-6.777443609022556,3.216541353383459,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2020-01-08,-5.201102941176471,0.0080645161290322,64.90674399587245,-12.011764705882351,1.6095588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2020-01-09,-2.724242424242425,0.0025806451612903,66.14883325066411,-10.03560606060606,4.587121212121212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2020-01-10,0.9770992366412212,0.8174342105263158,86.95851934475384,-5.719847328244274,7.825373134328357,13.0,0.0,0.0,3.0,0.0,9.0,8.0,2.0,0.0
IA,2020-01-11,-7.741732283464567,7.242622950819672,80.60094222810427,-11.92265625,-3.4889763779527563,7.0,0.0,0.0,5.0,0.0,14.0,5.0,0.0,0.0
IA,2020-01-12,-8.928076923076924,0.527719298245614,87.30307553604054,-12.483846153846155,-5.394656488549619,17.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0
IA,2020-01-13,-5.234191176470588,2.347811447811448,94.28739688577642,-8.218382352941177,-2.25,23.0,4.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0
IA,2020-01-14,-2.588148148148148,0.8235099337748344,91.84632169158532,-6.117037037037036,0.9463235294117648,25.0,3.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0
IA,2020-01-15,-5.875373134328358,0.2533783783783784,93.08350283636469,-10.58955223880597,-1.1611940298507462,27.0,9.0,0.0,1.0,0.0,26.0,6.0,0.0,0.0
IA,2020-01-16,-12.747014925373133,0.1020408163265306,73.58729557345127,-20.26194029850746,-5.232089552238806,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IA,2020-01-17,-13.526492537313432,1.4071672354948803,84.2574093072813,-19.176296296296297,-7.857777777777778,20.0,15.0,0.0,7.0,0.0,19.0,6.0,1.0,0.0
IA,2020-01-18,-7.664453125,11.316319444444444,87.87462618974914,-14.19765625,-1.1092307692307692,22.0,3.0,0.0,11.0,0.0,30.0,14.0,6.0,2.0
IA,2020-01-19,-14.4015503875969,0.1047272727272727,73.28049436441181,-19.99770992366412,-8.788372093023256,5.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,2.0
IA,2020-01-20,-16.5078125,0.153169014084507,82.07910273430662,-20.05581395348837,-12.9546875,13.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
IA,2020-01-21,-15.411851851851852,0.0537162162162162,87.4410608686376,-21.22222222222222,-9.601481481481482,17.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0
IA,2020-01-22,-8.487132352941176,1.2780821917808218,88.82407224303216,-15.969852941176471,-1.0044117647058823,23.0,1.0,0.0,4.0,0.0,12.0,4.0,0.0,0.0
IA,2020-01-23,-0.9188888888888888,4.225170068027211,96.91436956060812,-2.16,0.3198529411764705,35.0,8.0,0.0,2.0,0.0,7.0,3.0,0.0,0.0
IA,2020-01-24,-0.6772388059701493,3.6496350364963503,96.29591572706003,-1.8888059701492537,0.5348148148148149,29.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
IA,2020-01-25,-1.7702290076335878,0.8906137184115523,90.81684605663808,-3.4969465648854965,-0.0435114503816793,20.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
IA,2020-01-26,-3.2083969465648856,0.0046762589928057,94.09782609169474,-6.29618320610687,-0.1325757575757575,35.0,12.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0
IA,2020-01-27,-3.0058823529411764,0.0464788732394366,96.04487885337817,-5.470588235294118,-0.5411764705882354,38.0,9.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0
IA,2020-01-28,-4.284558823529412,0.0072916666666666,94.2810267386166,-6.769852941176471,-1.7992647058823528,31.0,1.0,0.0,1.0,0.0,6.0,4.0,0.0,0.0
IA,2020-01-29,-6.267279411764706,0.6494983277591972,93.1400609758092,-7.866911764705883,-4.667647058823529,27.0,5.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0
IA,2020-01-30,-5.215925925925926,0.0787878787878788,91.57690240228534,-7.503703703703704,-2.922794117647059,33.0,1.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0
IA,2020-01-31,-2.5277372262773725,0.2449324324324324,93.93793381277878,-4.767883211678832,-0.2875912408759124,35.0,10.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0
IA,2020-02-01,-0.3267175572519084,0.588255033557047,91.28931875276436,-2.6152671755725194,1.9681818181818185,32.0,8.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
IA,2020-02-02,2.3477272727272727,0.0,74.70711788722879,-1.4969696969696968,6.192424242424242,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2020-02-03,2.258148148148148,0.0,87.6096601778488,-3.5272058823529413,8.030882352941177,10.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IA,2020-02-04,-2.873507462686568,0.0,70.18474127959485,-6.672992700729927,1.0096296296296297,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2020-02-05,-5.991911764705883,0.0016339869281045,67.93596495735936,-9.013235294117647,-2.9705882352941178,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IA,2020-02-06,-6.763602941176471,0.0367549668874172,72.50069088348388,-11.73235294117647,-1.8021897810218976,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
IA,2020-02-07,-5.877372262773723,0.4495016611295681,78.34680799911304,-11.343795620437955,-0.410948905109489,15.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0
IA,2020-02-08,-8.278244274809161,0.3421768707482993,81.83145906297051,-13.51297709923664,-3.043511450381679,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IA,2020-02-09,-5.924621212121211,0.9071186440677964,82.96045679932716,-11.988636363636363,0.1393939393939393,16.0,1.0,0.0,6.0,0.0,6.0,6.0,0.0,0.0
IA,2020-02-10,-5.238686131386862,0.9304347826086956,85.5213970977208,-12.056204379562043,1.5788321167883212,16.0,3.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0
IA,2020-02-11,-4.867037037037036,0.0,80.22508858565133,-10.827407407407408,1.0933333333333333,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
IA,2020-02-12,-3.916296296296297,0.2134680134680134,79.68202073993022,-9.012592592592592,1.1627737226277373,16.0,3.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0
IA,2020-02-13,-11.74779411764706,2.070065789473684,74.56621681741694,-21.939705882352943,-1.5558823529411765,8.0,0.0,0.0,0.0,0.0,1.0,12.0,2.0,0.0
IA,2020-02-14,-18.923076923076923,0.0092715231788079,69.24696983446819,-24.33863636363636,-13.461068702290078,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
IA,2020-02-15,-10.248461538461536,0.0608108108108108,72.49018645514029,-18.24076923076923,-2.281679389312977,8.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IA,2020-02-16,-1.65,0.0095890410958904,85.34244126770349,-7.331060606060606,4.031060606060606,20.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
IA,2020-02-17,-0.0838345864661654,0.8656666666666666,90.3719635324083,-4.663157894736843,4.5156716417910445,26.0,7.0,0.0,4.0,0.0,3.0,3.0,1.0,0.0
IA,2020-02-18,-1.843014705882353,3.919407894736842,84.74095803812843,-6.844117647058823,3.1580882352941178,13.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
IA,2020-02-19,-7.04375,0.1710963455149501,78.02356984453348,-12.668613138686132,-1.436029411764706,5.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
IA,2020-02-20,-13.037956204379562,0.121594684385382,68.2007610870861,-19.072262773722628,-7.0036496350364965,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
IA,2020-02-21,-10.31029411764706,0.0,68.4424646493102,-17.078832116788323,-3.5058823529411764,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
IA,2020-02-22,-0.8824427480916032,0.0,68.3022994273289,-7.653435114503817,5.88854961832061,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IA,2020-02-23,3.3022727272727272,0.0,71.1328077195159,-3.238636363636364,9.819548872180452,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2020-02-24,3.764814814814815,0.0473856209150326,78.50285041791517,-2.784444444444444,10.314074074074076,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
