year,state_name,state_alpha,week_ending,week,planted,emerged,silking,doughing,dented,mature,harvested
2008,WISCONSIN,WI,2008-04-13,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,WISCONSIN,WI,2008-04-20,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,WISCONSIN,WI,2008-04-27,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,WISCONSIN,WI,2008-05-04,18,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,WISCONSIN,WI,2008-05-11,19,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,WISCONSIN,WI,2008-05-18,20,56.0,7.0,0.0,0.0,0.0,0.0,0.0
2008,WISCONSIN,WI,2008-05-25,21,80.0,24.0,0.0,0.0,0.0,0.0,0.0
2008,WISCONSIN,WI,2008-06-01,22,92.0,57.0,0.0,0.0,0.0,0.0,0.0
2008,WISCONSIN,WI,2008-06-08,23,0.0,84.0,0.0,0.0,0.0,0.0,0.0
2008,WISCONSIN,WI,2008-06-15,24,0.0,94.0,0.0,0.0,0.0,0.0,0.0
2008,WISCONSIN,WI,2008-06-22,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,WISCONSIN,WI,2008-06-29,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,WISCONSIN,WI,2008-07-06,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,WISCONSIN,WI,2008-07-13,28,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2008,WISCONSIN,WI,2008-07-20,29,0.0,0.0,7.0,0.0,0.0,0.0,0.0
2008,WISCONSIN,WI,2008-07-27,30,0.0,0.0,32.0,0.0,0.0,0.0,0.0
2008,WISCONSIN,WI,2008-08-03,31,0.0,0.0,62.0,0.0,0.0,0.0,0.0
2008,WISCONSIN,WI,2008-08-10,32,0.0,0.0,82.0,9.0,0.0,0.0,0.0
2008,WISCONSIN,WI,2008-08-17,33,0.0,0.0,95.0,24.0,1.0,0.0,0.0
2008,WISCONSIN,WI,2008-08-24,34,0.0,0.0,0.0,46.0,4.0,0.0,0.0
2008,WISCONSIN,WI,2008-08-31,35,0.0,0.0,0.0,61.0,20.0,0.0,0.0
2008,WISCONSIN,WI,2008-09-07,36,0.0,0.0,0.0,76.0,31.0,5.0,0.0
2008,WISCONSIN,WI,2008-09-14,37,0.0,0.0,0.0,84.0,48.0,8.0,0.0
2008,WISCONSIN,WI,2008-09-21,38,0.0,0.0,0.0,0.0,65.0,14.0,0.0
2008,WISCONSIN,WI,2008-09-28,39,0.0,0.0,0.0,0.0,84.0,36.0,2.0
2008,WISCONSIN,WI,2008-10-05,40,0.0,0.0,0.0,0.0,0.0,51.0,5.0
2008,WISCONSIN,WI,2008-10-12,41,0.0,0.0,0.0,0.0,0.0,80.0,8.0
2008,WISCONSIN,WI,2008-10-19,42,0.0,0.0,0.0,0.0,0.0,91.0,17.0
2008,WISCONSIN,WI,2008-10-26,43,0.0,0.0,0.0,0.0,0.0,95.0,28.0
2008,WISCONSIN,WI,2008-11-02,44,0.0,0.0,0.0,0.0,0.0,0.0,43.0
2008,WISCONSIN,WI,2008-11-09,45,0.0,0.0,0.0,0.0,0.0,0.0,58.0
2008,WISCONSIN,WI,2008-11-16,46,0.0,0.0,0.0,0.0,0.0,0.0,69.0
2008,WISCONSIN,WI,2008-11-23,47,0.0,0.0,0.0,0.0,0.0,0.0,83.0
