STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
NC,2015-01-01,-4.1654639175257735,2.202061855670103,8.56958762886598,0.0061728395061728,69.29057313153564,8.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0
NC,2015-01-02,0.149238578680203,5.674111675126904,11.198984771573604,0.0850837138508371,69.42364845078707,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2015-01-03,5.873846153846154,9.183589743589744,12.497448979591836,3.973541963015647,89.01926665834571,27.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0
NC,2015-01-04,8.340306122448979,12.70897435897436,17.086734693877553,14.198879551820728,93.70719408106858,25.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0
NC,2015-01-05,1.643877551020408,8.872704081632653,16.13807106598985,4.8500713266761775,57.07601650744768,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
NC,2015-01-06,-3.2388888888888885,3.883248730964467,11.021827411167514,0.0106194690265486,60.64843948303635,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
NC,2015-01-07,-5.578865979381443,1.2642487046632125,8.139378238341969,0.0076119402985074,61.016111281932176,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2015-01-08,-12.654358974358974,-5.912239583333334,0.7839378238341969,0.0343151693667157,39.97341868749027,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
NC,2015-01-09,-10.330890052356022,-3.761578947368421,2.794764397905759,0.0056213017751479,44.90195692842982,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC,2015-01-10,-7.337037037037037,-0.783068783068783,5.770899470899471,0.0009132420091324,43.28098015204826,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC,2015-01-11,-8.36436170212766,-0.6257978723404255,7.107407407407407,0.2673946957878315,56.71806435102563,7.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
NC,2015-01-12,-1.9541666666666664,4.257291666666666,10.46875,14.32085048010974,84.45549635181946,31.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0
NC,2015-01-13,2.420103092783505,6.427577319587629,10.452820512820512,17.32479674796748,92.0668662395344,39.0,2.0,2.0,0.0,0.0,3.0,5.0,0.0
NC,2015-01-14,-0.7670103092783506,2.0440414507772022,4.870466321243524,3.1039772727272723,92.16210714476637,27.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0
NC,2015-01-15,-1.5167512690355331,1.429081632653061,4.351776649746193,0.3714285714285714,91.3607640584464,31.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0
NC,2015-01-16,-1.2598984771573605,3.387055837563452,8.034010152284264,0.3068513119533527,75.90108240356864,22.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2015-01-17,-2.3577319587628867,4.527319587628866,11.41237113402062,0.0808641975308642,71.4418672343585,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC,2015-01-18,0.1369230769230769,6.648461538461539,13.159999999999998,5.965058479532163,74.43335714629309,17.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0
NC,2015-01-19,0.286734693877551,7.567179487179486,14.824489795918367,3.930814814814815,53.216233867123336,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC,2015-01-20,1.6596938775510204,9.474744897959184,17.28680203045685,0.0377049180327868,53.84161849654585,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
NC,2015-01-21,1.6852040816326532,9.356632653061224,17.028061224489797,0.0204747774480712,66.649592541819,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2015-01-22,-0.6260204081632653,6.729123711340207,14.085051546391751,0.0054814814814814,69.25686043169493,13.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0
NC,2015-01-23,0.3357512953367875,5.775129533678756,11.214507772020726,2.0391176470588235,78.29880035506699,16.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
NC,2015-01-24,1.7074074074074073,5.666402116402117,9.73089005235602,25.946378830083564,88.72764085301347,18.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0
NC,2015-01-25,-1.74021164021164,4.344444444444445,10.42910052910053,2.623076923076923,68.23008005497601,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC,2015-01-26,-0.4010362694300518,5.524093264248705,11.453092783505156,0.7603498542274053,79.73537160827736,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC,2015-01-27,-1.618041237113402,3.071649484536082,7.761340206185567,1.0715317919075145,67.89622040150667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2015-01-28,-4.52051282051282,0.8323834196891192,6.134715025906735,0.0789629629629629,51.03487996346717,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
NC,2015-01-29,-5.436787564766839,1.427979274611399,8.292746113989637,0.0375186846038863,59.61242110528539,4.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0
NC,2015-01-30,-3.0673469387755103,2.983928571428572,9.035204081632653,0.5317073170731708,55.15132812506519,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
NC,2015-01-31,-5.295833333333333,1.37421875,8.044270833333334,0.0833333333333333,40.16059036304755,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
NC,2015-02-01,-3.091794871794872,3.864690721649485,10.814432989690722,0.2781789638932496,53.78830628027638,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC,2015-02-02,0.1287958115183246,6.872251308900523,13.634536082474227,11.01031636863824,74.43853583803553,15.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
