STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
NE,2011-01-01,1.5123794212218649,66.733542972963,-18.67577639751553,-11.17,-14.916875,2.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
NE,2011-01-02,0.040764331210191,66.6220714551614,-18.63780487804878,-5.915243902439024,-12.2765243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,2011-01-03,0.0060221870047543,72.73977777106435,-15.784756097560974,-0.4945121951219511,-8.139634146341464,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,2011-01-04,0.0,75.03593325322534,-16.866666666666667,0.7527272727272727,-8.056969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,2011-01-05,0.0015673981191222,73.51995545864915,-14.713333333333331,1.892121212121212,-6.41060606060606,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,2011-01-06,0.00796875,72.72082496766318,-8.653614457831326,4.648192771084338,-2.0027108433734937,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,2011-01-07,0.0025157232704402,70.59100139390924,-4.620121951219512,6.201219512195122,0.7905487804878049,4.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
NE,2011-01-08,0.0682108626198083,76.54617986972605,-10.153658536585366,0.9670731707317072,-4.593292682926829,10.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0
NE,2011-01-09,1.737315875613748,80.7271519984916,-10.68036809815951,-4.717283950617285,-7.699074074074074,22.0,9.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,5.0
NE,2011-01-10,7.961038961038961,85.14597497916513,-14.93433734939759,-7.88433734939759,-11.40933734939759,19.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,2.0
NE,2011-01-11,1.1046548956661315,74.3260038356959,-21.94850299401197,-10.88502994011976,-16.416766467065866,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
NE,2011-01-12,0.0158982511923688,75.39668955430031,-23.408982035928144,-11.606586826347304,-17.507784431137726,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
NE,2011-01-13,0.0187004754358161,76.19629317517484,-20.52909090909091,-5.318787878787879,-12.923939393939392,8.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NE,2011-01-14,0.0036624203821656,81.1921416571385,-10.769277108433736,2.845180722891566,-3.9620481927710847,13.0,1.0,0.0,1.0,0.0,3.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0
NE,2011-01-15,0.0199362041467304,80.29064056550365,-8.626666666666667,2.833939393939394,-2.896363636363636,16.0,2.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
NE,2011-01-16,0.0304,83.03866096384577,-9.65432098765432,-1.6559006211180125,-5.648757763975156,31.0,3.0,0.0,6.0,0.0,5.0,7.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,6.0,2.0,0.0,2.0
NE,2011-01-17,0.156597774244833,81.64659793061098,-8.028048780487804,3.80670731707317,-2.110670731707317,14.0,0.0,1.0,6.0,1.0,10.0,6.0,0.0,1.0,4.0,1.0,0.0,6.0,1.0,4.0,1.0,0.0,0.0
NE,2011-01-18,0.3995222929936305,81.7782417174955,-8.927710843373495,5.124698795180724,-1.9015060240963853,24.0,2.0,1.0,1.0,0.0,2.0,7.0,0.0,1.0,7.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,2.0
NE,2011-01-19,0.8996815286624203,82.8837665462473,-13.975151515151516,-4.251219512195123,-9.115243902439024,28.0,9.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0
NE,2011-01-20,3.6119236883942767,80.23976564132188,-18.656626506024097,-8.39090909090909,-13.514545454545456,11.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
NE,2011-01-21,0.2650159744408946,79.44450508078195,-15.528484848484847,-3.0636363636363635,-9.296060606060609,14.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
NE,2011-01-22,0.3511363636363636,84.70753749798862,-11.598170731707317,1.0331288343558285,-5.300920245398773,29.0,7.0,0.0,3.0,0.0,6.0,7.0,0.0,1.0,3.0,0.0,0.0,4.0,3.0,8.0,1.0,0.0,3.0
NE,2011-01-23,2.119871794871795,78.74120186725563,-16.6760736196319,0.5333333333333333,-8.038888888888888,7.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0
NE,2011-01-24,0.0217391304347826,76.86968014543619,-14.016463414634146,-0.6269938650306749,-7.323926380368098,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NE,2011-01-25,0.0035426731078904,78.44874572927795,-12.490963855421686,2.839634146341463,-4.840853658536585,21.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
